Check http://en.wikipedia.org/wiki/NATO_phonetic_alphabet for details.

    A  alfa      (AL-fah)
    B  bravo     (BRAH-vo)
    C  charlie   (CHAR-lee, or SHAR-lee)
    D  delta     (DELL-tah)
    E  echo      (ECK-oh)
    F  foxtrot   (FOKS-trot)
    G  golf      (GOLF)
    H  hotel     (hoh-TELL)
    I  india     (IN-dee-ah)
    J  juliett   (JEW-lee-ett)
    K  kilo      (KEY-loh)
    L  lima      (LEE-mah)
    M  mike      (MIKE)
    N  november  (no-VEM-ber)
    O  oscar     (OSS-cah)
    P  papa      (pah-PAH)
    Q  quebec    (keh-BECK)
    R  romeo     (ROW-me-oh)
    S  sierra    (see-AIR-ah)
    T  tango     (TANG-go)
    U  uniform   (YOU-nee-form)
    V  victor    (VIK-tah)
    W  whiskey   (WISS-key)
    X  x-ray     (ECKS-ray)
    Y  yankee    (YANG-key)
    Z  zulu      (ZOO-loo)

